Дата_и_время_начала,Дата_и_время_окончания,Исполнитель,Описание,Статус
2024-12-20 10:00,2024-12-20 20:00,Папа,Капитальный ремонт в гараже,успешно выполнена
2025-05-01 08:00,2025-05-01 09:00,Мама,Приготовление праздничного завтрака,успешно выполнена
2025-05-01 12:00,2025-05-01 15:00,Папа,Сезонная замена шин на авто,успешно выполнена
2025-05-20 00:00,2025-05-20 18:00,Сын,Подготовка к годовой контрольной,провалена
2025-05-25 09:00,2025-05-25 10:00,Мама,Заказ продуктов на неделю,успешно выполнена
2025-05-25 09:00,2025-05-25 10:00,Мама,Стирка штор в гостиной,в процессе
2025-05-25 09:00,2025-05-25 10:00,Мама,Запись к стоматологу,получена
2025-05-25 09:00,2025-05-25 10:00,Мама,Полив комнатных растений,провалена
2025-05-28 14:00,2025-05-28 15:00,Дочь,Урок рисования в студии,в процессе
2025-06-01 10:00,2025-06-10 18:00,Папа,Арматуру закупить для забора,провалена
2025-06-01 10:00,2025-06-10 18:00,Папа,Бетонную смесь заказать,провалена
2025-06-01 10:00,2025-06-10 18:00,Папа,Ворота покрасить эмалью,провалена
2025-06-01 10:00,2025-06-10 19:00,Папа,Гравий разровнять у входа,провалена
2025-06-05 23:59,2025-06-05 14:00,Сын,Школьная экскурсия в музей,успешно выполнена
2025-06-15 10:00,2025-06-15 12:00,Анна,Английский язык повторение,в процессе
2025-06-15 10:00,2025-06-15 12:00,Борис,Биология подготовка проекта,в процессе
2025-06-15 10:00,2025-06-15 12:00,Виктор,Волейбол тренировка в зале,в процессе
2025-06-15 10:00,2025-06-15 12:00,Глеб,Геометрия решение задач,в процессе
2025-06-20 09:00,2025-06-20 18:00,Мама,Работа в центральном офисе,получена
2025-06-21 09:00,2025-06-21 11:00,Мама,Магазин одежды визит,получена
2025-06-22 18:00,2025-06-22 20:00,Мама,Ужин семейный подготовка,получена
2025-06-23 10:00,2025-06-23 12:00,Мама,Сортировка вещей в шкафу,получена
2025-06-24 14:00,2025-06-24 16:00,Мама,Глажка постельного белья,получена
2025-06-25 17:00,2025-06-25 18:00,Мама,Поход в химчистку,получена
2025-06-26 20:00,2025-06-26 22:00,Мама,Чтение новой книги,получена
2025-06-27 11:00,2025-06-27 13:00,Мама,Прогулка в городском парке,получена
2025-06-28 19:00,2025-06-28 21:00,Мама,Кинотеатр просмотр фильма,получена
2025-06-29 22:00,2025-06-30 08:00,Мама,Отдых и глубокий сон,получена
2025-06-30 07:00,2025-06-30 08:00,Мама,Йога и растяжка утром,получена
2026-01-01 10:00,2026-01-01 12:00,Робот,Автоматическая проверка системы,получена
